symbol,side,setup_type,previous_leg_start_time,previous_leg_end_time,previous_leg_end_price,corrective_leg_start_time,corrective_leg_end_time,corrective_leg_end_price,current_leg_start_time,current_leg_end_time,current_leg_end_price,continuation_level,h4_breakout_time,h4_breakout_open,h4_breakout_high,h4_breakout_low,h4_breakout_close,entry_time,entry,m15_entry_open,m15_entry_high,m15_entry_low,m15_entry_close,exit_time,exit,sl,tp,result,search_start,search_end,pnl_points
USDCAD,buy,bullish_bearish_bullish,2025-09-05 12:00:00+00:00,2025-09-11 12:00:00+00:00,1.38911,2025-09-11 12:00:00+00:00,2025-09-17 16:00:00+00:00,1.37261,2025-09-17 16:00:00+00:00,2025-09-26 08:00:00+00:00,1.39581,1.38911,2025-09-24 12:00:00+00:00,1.38711,1.38972,1.38655,1.38946,2025-09-24 14:00:00+00:00,1.38916,1.38766,1.38957,1.38759,1.38916,2025-09-25 16:30:00+00:00,1.39316,1.38816,1.39316,TP,2025-09-17 16:00:00+00:00,2025-09-26 08:00:00+00:00,400.00000000000034
USDCAD,buy,bullish_bearish_bullish,2025-10-07 12:00:00+00:00,2025-10-08 04:00:00+00:00,1.39706,2025-10-08 04:00:00+00:00,2025-10-08 12:00:00+00:00,1.39313,2025-10-08 12:00:00+00:00,2025-10-14 08:00:00+00:00,1.40795,1.39706,2025-10-09 12:00:00+00:00,1.3953,1.40203,1.39385,1.40106,2025-10-09 14:00:00+00:00,1.39866,1.39705,1.39872,1.39705,1.39866,2025-10-09 18:30:00+00:00,1.40266,1.3976600000000001,1.40266,TP,2025-10-08 12:00:00+00:00,2025-10-14 08:00:00+00:00,400.00000000000034
USDCAD,sell,bearish_bullish_bearish,2025-10-14 08:00:00+00:00,2025-10-23 20:00:00+00:00,1.39728,2025-10-23 20:00:00+00:00,2025-10-24 12:00:00+00:00,1.40385,2025-10-24 12:00:00+00:00,2025-10-29 12:00:00+00:00,1.38874,1.39728,2025-10-28 12:00:00+00:00,1.39975,1.40019,1.39365,1.39366,2025-10-28 14:15:00+00:00,1.39642,1.39759,1.39761,1.39633,1.39642,2025-10-29 07:15:00+00:00,1.39242,1.3974199999999999,1.39242,TP,2025-10-24 12:00:00+00:00,2025-10-29 12:00:00+00:00,400.00000000000034
USDCAD,buy,bullish_bearish_bullish,2025-10-23 20:00:00+00:00,2025-10-24 12:00:00+00:00,1.40385,2025-10-24 12:00:00+00:00,2025-10-29 12:00:00+00:00,1.38874,2025-10-29 12:00:00+00:00,2025-11-05 12:00:00+00:00,1.414,1.40385,2025-11-03 08:00:00+00:00,1.40183,1.40471,1.40175,1.40445,2025-11-03 09:45:00+00:00,1.40388,1.40341,1.40401,1.40341,1.40388,2025-11-04 11:45:00+00:00,1.40788,1.4028800000000001,1.40788,TP,2025-10-29 12:00:00+00:00,2025-11-05 12:00:00+00:00,400.00000000000034
USDCAD,buy,bullish_bearish_bullish,2025-11-13 08:00:00+00:00,2025-11-18 04:00:00+00:00,1.40618,2025-11-18 04:00:00+00:00,2025-11-18 16:00:00+00:00,1.39709,2025-11-18 16:00:00+00:00,2025-11-21 16:00:00+00:00,1.41305,1.40618,2025-11-20 08:00:00+00:00,1.40571,1.40644,1.40469,1.4062,2025-11-20 11:45:00+00:00,1.4062,1.40599,1.40644,1.4059,1.4062,2025-11-20 13:30:00+00:00,1.4052,1.4052,1.4102,SL,2025-11-18 16:00:00+00:00,2025-11-21 16:00:00+00:00,-99.99999999998897
USDCAD,sell,bearish_bullish_bearish,2025-11-18 04:00:00+00:00,2025-11-18 16:00:00+00:00,1.39709,2025-11-18 16:00:00+00:00,2025-11-21 16:00:00+00:00,1.41305,2025-11-21 16:00:00+00:00,2025-12-08 12:00:00+00:00,1.37993,1.39709,2025-11-28 12:00:00+00:00,1.40351,1.40401,1.39381,1.39403,2025-11-28 15:00:00+00:00,1.39669,1.39798,1.39801,1.39669,1.39669,2025-11-28 17:00:00+00:00,1.3976899999999999,1.3976899999999999,1.39269,SL,2025-11-21 16:00:00+00:00,2025-12-08 12:00:00+00:00,-99.99999999998897
USDCAD,sell,bearish_bullish_bearish,2025-11-21 16:00:00+00:00,2025-12-08 12:00:00+00:00,1.37993,2025-12-08 12:00:00+00:00,2025-12-10 12:00:00+00:00,1.38715,2025-12-10 12:00:00+00:00,2025-12-16 12:00:00+00:00,1.37298,1.37993,2025-12-10 20:00:00+00:00,1.38098,1.38141,1.37834,1.37892,2025-12-10 20:15:00+00:00,1.37888,1.37916,1.37954,1.37857,1.37888,2025-12-10 21:00:00+00:00,1.37988,1.37988,1.37488,SL,2025-12-10 12:00:00+00:00,2025-12-16 12:00:00+00:00,-99.99999999998897
USDCAD,sell,bearish_bullish_bearish,2025-12-19 08:00:00+00:00,2025-12-19 12:00:00+00:00,1.37546,2025-12-19 12:00:00+00:00,2025-12-19 20:00:00+00:00,1.38054,2025-12-19 20:00:00+00:00,2025-12-26 12:00:00+00:00,1.3642,1.37546,2025-12-22 12:00:00+00:00,1.37664,1.3773,1.37394,1.37416,2025-12-22 14:30:00+00:00,1.37493,1.37566,1.37613,1.37447,1.37493,2025-12-23 09:00:00+00:00,1.37093,1.3759299999999999,1.37093,TP,2025-12-19 20:00:00+00:00,2025-12-26 12:00:00+00:00,400.00000000000034
USDCAD,buy,bullish_bearish_bullish,2025-12-19 12:00:00+00:00,2025-12-19 20:00:00+00:00,1.38054,2025-12-19 20:00:00+00:00,2025-12-26 12:00:00+00:00,1.3642,2025-12-26 12:00:00+00:00,2026-01-16 16:00:00+00:00,1.39282,1.38054,2026-01-06 20:00:00+00:00,1.38043,1.38165,1.38008,1.38156,2026-01-06 20:45:00+00:00,1.38093,1.38025,1.38094,1.38024,1.38093,2026-01-07 13:30:00+00:00,1.37993,1.37993,1.38493,SL,2025-12-26 12:00:00+00:00,2026-01-16 16:00:00+00:00,-99.99999999998897
USDCAD,sell,bearish_bullish_bearish,2026-01-16 16:00:00+00:00,2026-01-21 12:00:00+00:00,1.37851,2026-01-21 12:00:00+00:00,2026-01-22 00:00:00+00:00,1.38446,2026-01-22 00:00:00+00:00,2026-01-29 20:00:00+00:00,1.34811,1.37851,2026-01-22 20:00:00+00:00,1.3791,1.37928,1.37813,1.37842,2026-01-22 21:45:00+00:00,1.37844,1.37853,1.37883,1.37839,1.37844,2026-01-23 02:00:00+00:00,1.37944,1.37944,1.37444,SL,2026-01-22 00:00:00+00:00,2026-01-29 20:00:00+00:00,-99.99999999998897
